pin_id,article_slug,article_title,quality_status,ok,reasons,quality_rule_key,quality_rule_label,quality_score,source_signature,quality_source_key,quality_source_type,quality_source_url,image_file,image_url,width,height
budget-front-yard-ideas-with-reused-brick-b,budget-front-yard-ideas-with-reused-brick,Budget Front Yard Ideas With Reused Brick,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1698001326158-23b65be92bf4,photo 1698001326158 23b65be92bf4,unsplash-expanded-search,https://images.unsplash.com/photo-1698001326158-23b65be92bf4,budget-front-yard-ideas-with-reused-brick-pin-b-1ld3s.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reused-brick-pin-b-1ld3s.jpg,1000,1500
budget-front-yard-ideas-with-reused-brick-c,budget-front-yard-ideas-with-reused-brick,Budget Front Yard Ideas With Reused Brick,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1734458012694-c9b8076f67b7,photo 1734458012694 c9b8076f67b7,unsplash-expanded-search,https://images.unsplash.com/photo-1734458012694-c9b8076f67b7,budget-front-yard-ideas-with-reused-brick-pin-c-1ln3e.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reused-brick-pin-c-1ln3e.jpg,1000,1500
budget-front-yard-ideas-with-secondhand-stone-a,budget-front-yard-ideas-with-secondhand-stone,Budget Front Yard Ideas With Secondhand Stone,approved,yes,,rock-landscaping,"Rocks, boulders, or gravel visible",90,unsplash:photo-1748785723427-6401d398be88,photo 1748785723427 6401d398be88,unsplash-search,https://images.unsplash.com/photo-1748785723427-6401d398be88,budget-front-yard-ideas-with-secondhand-stone-pin-a-14k50.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-secondhand-stone-pin-a-14k50.jpg,1000,1500
budget-front-yard-ideas-with-secondhand-stone-b,budget-front-yard-ideas-with-secondhand-stone,Budget Front Yard Ideas With Secondhand Stone,approved,no,missing_visible_house_exterior,rock-landscaping,"Rocks, boulders, or gravel visible",82,unsplash:photo-1710755790687-e7919d5dfeb3,photo 1710755790687 e7919d5dfeb3,unsplash-search,https://images.unsplash.com/photo-1710755790687-e7919d5dfeb3,budget-front-yard-ideas-with-secondhand-stone-pin-b-14a5e.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-secondhand-stone-pin-b-14a5e.jpg,1000,1500
budget-front-yard-ideas-with-seed-grown-flowers-a,budget-front-yard-ideas-with-seed-grown-flowers,Budget Front Yard Ideas With Seed-Grown Flowers,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1696120206640-5c7a067e3553,photo 1696120206640 5c7a067e3553,unsplash-expanded-search,https://images.unsplash.com/photo-1696120206640-5c7a067e3553,budget-front-yard-ideas-with-seed-grown-flowers-pin-a-14lgq.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-seed-grown-flowers-pin-a-14lgq.jpg,1000,1500
budget-front-yard-ideas-with-seed-grown-flowers-b,budget-front-yard-ideas-with-seed-grown-flowers,Budget Front Yard Ideas With Seed-Grown Flowers,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1723881766379-b8c0204a51ed,photo 1723881766379 b8c0204a51ed,unsplash-expanded-search,https://images.unsplash.com/photo-1723881766379-b8c0204a51ed,budget-front-yard-ideas-with-seed-grown-flowers-pin-b-13rhx.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-seed-grown-flowers-pin-b-13rhx.jpg,1000,1500
budget-front-yard-ideas-with-seed-grown-flowers-c,budget-front-yard-ideas-with-seed-grown-flowers,Budget Front Yard Ideas With Seed-Grown Flowers,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1612103070507-96dea009522d,photo 1612103070507 96dea009522d,unsplash-expanded-search,https://images.unsplash.com/photo-1612103070507-96dea009522d,budget-front-yard-ideas-with-seed-grown-flowers-pin-c-141hj.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-seed-grown-flowers-pin-c-141hj.jpg,1000,1500
budget-front-yard-ideas-with-simple-stone-rings-a,budget-front-yard-ideas-with-simple-stone-rings,Budget Front Yard Ideas With Simple Stone Rings,approved,yes,,rock-landscaping,"Rocks, boulders, or gravel visible",83,unsplash:photo-1755867712484-bc1faab9e608,photo 1755867712484 bc1faab9e608,unsplash-expanded-search,https://images.unsplash.com/photo-1755867712484-bc1faab9e608,budget-front-yard-ideas-with-simple-stone-rings-pin-a-1qyik.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-simple-stone-rings-pin-a-1qyik.jpg,1000,1500
budget-front-yard-ideas-with-simple-stone-rings-b,budget-front-yard-ideas-with-simple-stone-rings,Budget Front Yard Ideas With Simple Stone Rings,approved,yes,,rock-landscaping,"Rocks, boulders, or gravel visible",83,unsplash:photo-1629493967385-437729289a11,photo 1629493967385 437729289a11,unsplash-expanded-search,https://images.unsplash.com/photo-1629493967385-437729289a11,budget-front-yard-ideas-with-simple-stone-rings-pin-b-1r8i6.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-simple-stone-rings-pin-b-1r8i6.jpg,1000,1500
budget-front-yard-ideas-with-simple-wood-edging-a,budget-front-yard-ideas-with-simple-wood-edging,Budget Front Yard Ideas With Simple Wood Edging,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1779372372082-d4bbd7fc5b64,photo 1779372372082 d4bbd7fc5b64,unsplash-expanded-search,https://images.unsplash.com/photo-1779372372082-d4bbd7fc5b64,budget-front-yard-ideas-with-simple-wood-edging-pin-a-1d3ey.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-simple-wood-edging-pin-a-1d3ey.jpg,1000,1500
budget-front-yard-ideas-with-simple-wood-edging-b,budget-front-yard-ideas-with-simple-wood-edging,Budget Front Yard Ideas With Simple Wood Edging,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1705675451878-637b10025801,photo 1705675451878 637b10025801,unsplash-expanded-search,https://images.unsplash.com/photo-1705675451878-637b10025801,budget-front-yard-ideas-with-simple-wood-edging-pin-b-1ctfd.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-simple-wood-edging-pin-b-1ctfd.jpg,1000,1500
budget-front-yard-ideas-with-simple-wood-edging-c,budget-front-yard-ideas-with-simple-wood-edging,Budget Front Yard Ideas With Simple Wood Edging,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1583785049445-66ef8e3b18f6,photo 1583785049445 66ef8e3b18f6,unsplash-expanded-search,https://images.unsplash.com/photo-1583785049445-66ef8e3b18f6,budget-front-yard-ideas-with-simple-wood-edging-pin-c-1cjfr.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-simple-wood-edging-pin-c-1cjfr.jpg,1000,1500
budget-front-yard-ideas-with-small-evergreens-a,budget-front-yard-ideas-with-small-evergreens,Budget Front Yard Ideas With Small Evergreens,approved,yes,,small-front-yard,Small or compact front yard visible,83,unsplash:photo-1697535199809-95583d780900,photo 1697535199809 95583d780900,unsplash-expanded-search,https://images.unsplash.com/photo-1697535199809-95583d780900,budget-front-yard-ideas-with-small-evergreens-pin-a-1ay8t.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-small-evergreens-pin-a-1ay8t.jpg,1000,1500
budget-front-yard-ideas-with-small-evergreens-b,budget-front-yard-ideas-with-small-evergreens,Budget Front Yard Ideas With Small Evergreens,approved,yes,,small-front-yard,Small or compact front yard visible,83,unsplash:photo-1710628527368-06e6440c3988,photo 1710628527368 06e6440c3988,unsplash-expanded-search,https://images.unsplash.com/photo-1710628527368-06e6440c3988,budget-front-yard-ideas-with-small-evergreens-pin-b-1a4a0.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-small-evergreens-pin-b-1a4a0.jpg,1000,1500
budget-front-yard-ideas-with-small-evergreens-c,budget-front-yard-ideas-with-small-evergreens,Budget Front Yard Ideas With Small Evergreens,approved,yes,,small-front-yard,Small or compact front yard visible,83,unsplash:photo-1742921749800-94395f565406,photo 1742921749800 94395f565406,unsplash-expanded-search,https://images.unsplash.com/photo-1742921749800-94395f565406,budget-front-yard-ideas-with-small-evergreens-pin-c-1ae9m.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-small-evergreens-pin-c-1ae9m.jpg,1000,1500
budget-front-yard-ideas-with-solar-path-lights-a,budget-front-yard-ideas-with-solar-path-lights,Budget Front Yard Ideas With Solar Path Lights,approved,yes,,lighting,Outdoor/path lighting visible,83,unsplash:photo-1708623975954-ac899f719545,photo 1708623975954 ac899f719545,unsplash-expanded-search,https://images.unsplash.com/photo-1708623975954-ac899f719545,budget-front-yard-ideas-with-solar-path-lights-pin-a-1g897.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-solar-path-lights-pin-a-1g897.jpg,1000,1500
budget-front-yard-lawn-refresh-ideas-a,budget-front-yard-lawn-refresh-ideas,Budget Front Yard Lawn Refresh Ideas,approved,yes,,lawn,"Lawn, grass, or lawn stripes visible",83,unsplash:photo-1771471148213-7cc946cd152e,photo 1771471148213 7cc946cd152e,unsplash-expanded-search,https://images.unsplash.com/photo-1771471148213-7cc946cd152e,budget-front-yard-lawn-refresh-ideas-pin-a-65sj9.jpg,https://frontyardaura.com/pins/budget-front-yard-lawn-refresh-ideas-pin-a-65sj9.jpg,1000,1500
