article_title,article_slug,pin_variant,pin_id,source_signature,category,required_image_element,rejection_reason,recommended_image_prompt,priority
Curb Appeal Landscaping for Gray Houses,curb-appeal-landscaping-for-gray-houses,A,curb-appeal-landscaping-for-gray-houses-a,manual-required:curb-appeal-landscaping-for-gray-houses-a,Curb Appeal Landscaping Ideas,a clearly visible gray or charcoal USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Gray Houses"". The image must match the article title exactly and show a clearly visible gray or charcoal USA home exterior with front yard landscaping. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-gray-houses-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",94
Curb Appeal Landscaping for Gray Houses,curb-appeal-landscaping-for-gray-houses,B,curb-appeal-landscaping-for-gray-houses-b,manual-required:curb-appeal-landscaping-for-gray-houses-b,Curb Appeal Landscaping Ideas,a clearly visible gray or charcoal USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Gray Houses"". The image must match the article title exactly and show a clearly visible gray or charcoal USA home exterior with front yard landscaping. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-gray-houses-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",95
Curb Appeal Landscaping for Gray Houses,curb-appeal-landscaping-for-gray-houses,C,curb-appeal-landscaping-for-gray-houses-c,manual-required:curb-appeal-landscaping-for-gray-houses-c,Curb Appeal Landscaping Ideas,a clearly visible gray or charcoal USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Gray Houses"". The image must match the article title exactly and show a clearly visible gray or charcoal USA home exterior with front yard landscaping. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-gray-houses-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",96
Curb Appeal Landscaping for Small Ranch Houses,curb-appeal-landscaping-for-small-ranch-houses,B,curb-appeal-landscaping-for-small-ranch-houses-b,manual-required:curb-appeal-landscaping-for-small-ranch-houses-b,Curb Appeal Landscaping Ideas,a clearly visible small compact front yard in front of a USA home exterior,needs_more_approved_sources; people_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Small Ranch Houses"". The image must match the article title exactly and show a clearly visible small compact front yard in front of a USA home exterior. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-small-ranch-houses-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",97
Curb Appeal Landscaping for Small Ranch Houses,curb-appeal-landscaping-for-small-ranch-houses,C,curb-appeal-landscaping-for-small-ranch-houses-c,manual-required:curb-appeal-landscaping-for-small-ranch-houses-c,Curb Appeal Landscaping Ideas,a clearly visible small compact front yard in front of a USA home exterior,needs_more_approved_sources; people_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Small Ranch Houses"". The image must match the article title exactly and show a clearly visible small compact front yard in front of a USA home exterior. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-small-ranch-houses-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",98
Curb Appeal Landscaping for Stone Houses,curb-appeal-landscaping-for-stone-houses,B,curb-appeal-landscaping-for-stone-houses-b,manual-required:curb-appeal-landscaping-for-stone-houses-b,Curb Appeal Landscaping Ideas,"clearly visible rocks, boulders, stone, or gravel landscaping",needs_more_approved_sources; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; people_pattern; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Stone Houses"". The image must match the article title exactly and show clearly visible rocks, boulders, stone, or gravel landscaping. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-stone-houses-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",99
Curb Appeal Landscaping for Stone Houses,curb-appeal-landscaping-for-stone-houses,C,curb-appeal-landscaping-for-stone-houses-c,manual-required:curb-appeal-landscaping-for-stone-houses-c,Curb Appeal Landscaping Ideas,"clearly visible rocks, boulders, stone, or gravel landscaping",needs_more_approved_sources; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; people_pattern; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Stone Houses"". The image must match the article title exactly and show clearly visible rocks, boulders, stone, or gravel landscaping. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-stone-houses-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",100
Curb Appeal Landscaping for Tan Houses,curb-appeal-landscaping-for-tan-houses,A,curb-appeal-landscaping-for-tan-houses-a,manual-required:curb-appeal-landscaping-for-tan-houses-a,Curb Appeal Landscaping Ideas,a clearly visible tan USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; quality_score_below_threshold; weak_front_yard_context,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Tan Houses"". The image must match the article title exactly and show a clearly visible tan USA home exterior with front yard landscaping. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-tan-houses-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",101
Curb Appeal Landscaping for Tan Houses,curb-appeal-landscaping-for-tan-houses,B,curb-appeal-landscaping-for-tan-houses-b,manual-required:curb-appeal-landscaping-for-tan-houses-b,Curb Appeal Landscaping Ideas,a clearly visible tan USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; quality_score_below_threshold; weak_front_yard_context,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Tan Houses"". The image must match the article title exactly and show a clearly visible tan USA home exterior with front yard landscaping. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-tan-houses-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",102
Curb Appeal Landscaping for Tan Houses,curb-appeal-landscaping-for-tan-houses,C,curb-appeal-landscaping-for-tan-houses-c,manual-required:curb-appeal-landscaping-for-tan-houses-c,Curb Appeal Landscaping Ideas,a clearly visible tan USA home exterior with front yard landscaping,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; vehicle_or_distraction_pattern; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; quality_score_below_threshold; weak_front_yard_context,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for Tan Houses"". The image must match the article title exactly and show a clearly visible tan USA home exterior with front yard landscaping. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-tan-houses-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",103
Curb Appeal Landscaping for White Farmhouses,curb-appeal-landscaping-for-white-farmhouses,A,curb-appeal-landscaping-for-white-farmhouses-a,manual-required:curb-appeal-landscaping-for-white-farmhouses-a,Curb Appeal Landscaping Ideas,a clearly visible white farmhouse exterior with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; missing_required_title_element; vehicle_or_distraction_pattern; people_pattern; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for White Farmhouses"". The image must match the article title exactly and show a clearly visible white farmhouse exterior with front yard landscaping. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-white-farmhouses-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",104
Curb Appeal Landscaping for White Farmhouses,curb-appeal-landscaping-for-white-farmhouses,B,curb-appeal-landscaping-for-white-farmhouses-b,manual-required:curb-appeal-landscaping-for-white-farmhouses-b,Curb Appeal Landscaping Ideas,a clearly visible white farmhouse exterior with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; missing_required_title_element; vehicle_or_distraction_pattern; people_pattern; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for White Farmhouses"". The image must match the article title exactly and show a clearly visible white farmhouse exterior with front yard landscaping. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-white-farmhouses-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",105
Curb Appeal Landscaping for White Farmhouses,curb-appeal-landscaping-for-white-farmhouses,C,curb-appeal-landscaping-for-white-farmhouses-c,manual-required:curb-appeal-landscaping-for-white-farmhouses-c,Curb Appeal Landscaping Ideas,a clearly visible white farmhouse exterior with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; missing_required_title_element; vehicle_or_distraction_pattern; people_pattern; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping for White Farmhouses"". The image must match the article title exactly and show a clearly visible white farmhouse exterior with front yard landscaping. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-for-white-farmhouses-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",106
Curb Appeal Landscaping With a Statement Tree,curb-appeal-landscaping-with-a-statement-tree,C,curb-appeal-landscaping-with-a-statement-tree-c,manual-required:curb-appeal-landscaping-with-a-statement-tree-c,Curb Appeal Landscaping Ideas,a clearly visible front yard landscape and USA home exterior matching the article title,needs_more_approved_sources; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; people_pattern; weak_front_yard_context; quality_score_below_threshold; vehicle_or_distraction_pattern,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping With a Statement Tree"". The image must match the article title exactly and show a clearly visible front yard landscape and USA home exterior matching the article title. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-with-a-statement-tree-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",107
Curb Appeal Landscaping With Clean Lawn Stripes,curb-appeal-landscaping-with-clean-lawn-stripes,A,curb-appeal-landscaping-with-clean-lawn-stripes-a,manual-required:curb-appeal-landscaping-with-clean-lawn-stripes-a,Curb Appeal Landscaping Ideas,a clearly visible clean front lawn or lawn stripes with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; weak_front_yard_context; vehicle_or_distraction_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping With Clean Lawn Stripes"". The image must match the article title exactly and show a clearly visible clean front lawn or lawn stripes with front yard landscaping. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-with-clean-lawn-stripes-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",108
Curb Appeal Landscaping With Clean Lawn Stripes,curb-appeal-landscaping-with-clean-lawn-stripes,B,curb-appeal-landscaping-with-clean-lawn-stripes-b,manual-required:curb-appeal-landscaping-with-clean-lawn-stripes-b,Curb Appeal Landscaping Ideas,a clearly visible clean front lawn or lawn stripes with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; weak_front_yard_context; vehicle_or_distraction_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping With Clean Lawn Stripes"". The image must match the article title exactly and show a clearly visible clean front lawn or lawn stripes with front yard landscaping. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-with-clean-lawn-stripes-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",109
Curb Appeal Landscaping With Clean Lawn Stripes,curb-appeal-landscaping-with-clean-lawn-stripes,C,curb-appeal-landscaping-with-clean-lawn-stripes-c,manual-required:curb-appeal-landscaping-with-clean-lawn-stripes-c,Curb Appeal Landscaping Ideas,a clearly visible clean front lawn or lawn stripes with front yard landscaping,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; weak_front_yard_context; vehicle_or_distraction_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Curb Appeal Landscaping With Clean Lawn Stripes"". The image must match the article title exactly and show a clearly visible clean front lawn or lawn stripes with front yard landscaping. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for curb-appeal-landscaping-with-clean-lawn-stripes-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",110
